difficulty,task_id,model_family,model_name,run_times,max_turns,failure_num,num_correct,total_samples,accuracy,,,,,
easy,swap,gemini,gemini-2.5-pro_thinking,run_1,20,1,10,10,1,5661.97561,0.88,,7619.433547,
easy,random_small,gemini,gemini-2.5-pro_thinking,run_1,20,1,10,10,1,4474.463415,,,,
easy,consequece,gemini,gemini-2.5-pro_thinking,run_1,20,1,10,10,1,5711.439024,,,,
easy,xor_seq,gemini,gemini-2.5-pro_thinking,run_1,20,1,9,10,0.9,9930.44186,,,,
easy,palindrome,gemini,gemini-2.5-pro_thinking,run_1,20,1,5,10,0.5,12318.84783,,,,
hard,random_big,gemini,gemini-2.5-pro_thinking,run_1,20,1,10,10,1,9406.97561,,0.58,,10206.78794
hard,greater,gemini,gemini-2.5-pro_thinking,run_1,20,1,7,10,0.7,10915.2766,,,,
hard,path,gemini,gemini-2.5-pro_thinking,run_1,20,1,6,10,0.6,13548.34043,,,,
hard,matrixmul,gemini,gemini-2.5-pro_thinking,run_1,20,1,0,10,0,12559.03922,,,,
hard,count,gemini,gemini-2.5-pro_thinking,run_1,20,1,3,10,0.3,10894.875,,,,
hard,arbitrary,gemini,gemini-2.5-pro_thinking,run_1,20,1,0,10,0,13189.96078,,,,
hard,and_tree,gemini,gemini-2.5-pro_thinking,run_1,20,1,10,10,1,6225,,,,
hard,add,gemini,gemini-2.5-pro_thinking,run_1,20,1,9,10,0.9,10433.27907,,,,
hard,consequece_k,gemini,gemini-2.5-pro_thinking,run_1,20,1,10,10,1,4984.5,,,,
hard,compare,gemini,gemini-2.5-pro_thinking,run_1,20,1,3,10,0.3,9910.632653,,,,
easy,swap,gemini,gemini-2.5-flash_thinking,run_1,20,1,5,10,0.5,5388.891304,0.44,,7423.794713,
easy,random_small,gemini,gemini-2.5-flash_thinking,run_1,20,1,10,10,1,1224.829268,,,,
easy,consequece,gemini,gemini-2.5-flash_thinking,run_1,20,1,5,10,0.5,7011.456522,,,,
easy,xor_seq,gemini,gemini-2.5-flash_thinking,run_1,20,1,0,10,0,10223.17647,,,,
easy,palindrome,gemini,gemini-2.5-flash_thinking,run_1,20,1,2,10,0.2,13270.62,,,,
hard,random_big,gemini,gemini-2.5-flash_thinking,run_1,20,1,4,10,0.4,5343.914894,,0.37,,9839.220678
hard,greater,gemini,gemini-2.5-flash_thinking,run_1,20,1,3,10,0.3,10469.30612,,,,
hard,path,gemini,gemini-2.5-flash_thinking,run_1,20,1,7,10,0.7,4100.333333,,,,
hard,matrixmul,gemini,gemini-2.5-flash_thinking,run_1,20,1,0,10,0,12431.41176,,,,
hard,count,gemini,gemini-2.5-flash_thinking,run_1,20,1,0,10,0,15514.41176,,,,
hard,arbitrary,gemini,gemini-2.5-flash_thinking,run_1,20,1,1,10,0.1,16950.64,,,,
hard,and_tree,gemini,gemini-2.5-flash_thinking,run_1,20,1,9,10,0.9,2054.681818,,,,
hard,add,gemini,gemini-2.5-flash_thinking,run_1,20,1,8,10,0.8,10015.43478,,,,
hard,consequece_k,gemini,gemini-2.5-flash_thinking,run_1,20,1,5,10,0.5,7768.5625,,,,
hard,compare,gemini,gemini-2.5-flash_thinking,run_1,20,1,0,10,0,13743.5098,,,,
