difficulty,task_id,model_family,model_name,run_times,max_turns,failure_num,num_correct,total_samples,accuracy,,,,,
easy,caesar_cipher,gemini,gemini-2.5-pro_thinking,run_1,29.5,1,2,8,0.25,1712.244444,0.556818182,,3002.152225,
easy,01248_encryption_1,gemini,gemini-2.5-pro_thinking,run_1,29.5,1,8,8,1,3646.075,,,,
easy,01248_encryption_2,gemini,gemini-2.5-pro_thinking,run_1,29.5,1,8,8,1,3352.65,,,,
easy,fib_cipher,gemini,gemini-2.5-pro_thinking,run_1,29.5,1,5,8,0.625,2320.022222,,,,
easy,bacon_cipher,gemini,gemini-2.5-pro_thinking,run_1,29.5,1,1,8,0.125,4024.340426,,,,
easy,zigzag_cipher,gemini,gemini-2.5-pro_thinking,run_1,29.5,1,0,8,0,4156.234043,,,,
easy,curve_cipher,gemini,gemini-2.5-pro_thinking,run_1,29.5,1,1,8,0.125,4922.065217,,,,
easy,adhxz_encryption,gemini,gemini-2.5-pro_thinking,run_1,29.5,1,8,8,1,2492,,,,
easy,backpack_encryption,gemini,gemini-2.5-pro_thinking,run_1,29.5,1,8,8,1,2554.179487,,,,
easy,simple_substitution,gemini,gemini-2.5-pro_thinking,run_1,29.5,1,5,8,0.625,1265.909091,,,,
easy,idx_shift_encryption,gemini,gemini-2.5-pro_thinking,run_1,29.5,1,3,8,0.375,2577.954545,,,,
hard,positional_keyword_cipher,gemini,gemini-2.5-pro_thinking,run_1,29.5,1,0,8,0,6724.829787,,0.027777778,,5513.450971
hard,frequency_encryption,gemini,gemini-2.5-pro_thinking,run_1,29.5,1,0,8,0,6650.765957,,,,
hard,rsa_encryption,gemini,gemini-2.5-pro_thinking,run_1,29.5,1,0,8,0,7847.553191,,,,
hard,compositional_encryption,gemini,gemini-2.5-pro_thinking,run_1,29.5,1,1,8,0.125,4461.326087,,,,
hard,sequential_feedback_cipher,gemini,gemini-2.5-pro_thinking,run_1,29.5,1,0,8,0,2910.297872,,,,
hard,playfair_cipher,gemini,gemini-2.5-pro_thinking,run_1,29.5,1,0,8,0,8507.510638,,,,
hard,vigenere_encryption,gemini,gemini-2.5-pro_thinking,run_1,29.5,1,0,8,0,1796.085106,,,,
hard,dynamic_curve_cipher,gemini,gemini-2.5-pro_thinking,run_1,28.5,1,0,8,0,5686.434783,,,,
hard,hill_cipher,gemini,gemini-2.5-pro_thinking,run_1,29.5,1,1,8,0.125,5036.255319,,,,
easy,caesar_cipher,gemini,gemini-2.5-flash_thinking,run_1,29.5,1,1,8,0.125,65.06521739,0.068181818,,728.936738,
easy,01248_encryption_1,gemini,gemini-2.5-flash_thinking,run_1,29.5,1,3,8,0.375,1240.022222,,,,
easy,01248_encryption_2,gemini,gemini-2.5-flash_thinking,run_1,29.5,1,0,8,0,0,,,,
easy,fib_cipher,gemini,gemini-2.5-flash_thinking,run_1,29.5,1,0,8,0,42.53191489,,,,
easy,bacon_cipher,gemini,gemini-2.5-flash_thinking,run_1,29.5,1,0,8,0,615.9148936,,,,
easy,zigzag_cipher,gemini,gemini-2.5-flash_thinking,run_1,29.5,1,0,8,0,1648.729167,,,,
easy,curve_cipher,gemini,gemini-2.5-flash_thinking,run_1,29.5,1,0,8,0,1553.787234,,,,
easy,adhxz_encryption,gemini,gemini-2.5-flash_thinking,run_1,29.5,1,1,8,0.125,197.9130435,,,,
easy,backpack_encryption,gemini,gemini-2.5-flash_thinking,run_1,29.5,1,1,8,0.125,750.2765957,,,,
easy,simple_substitution,gemini,gemini-2.5-flash_thinking,run_1,29.5,1,0,8,0,809.7659574,,,,
easy,idx_shift_encryption,gemini,gemini-2.5-flash_thinking,run_1,29.5,1,0,8,0,1094.297872,,,,
hard,positional_keyword_cipher,gemini,gemini-2.5-flash_thinking,run_1,29.5,1,0,8,0,148.5531915,,0,,475.5118717
hard,frequency_encryption,gemini,gemini-2.5-flash_thinking,run_1,29.5,1,0,8,0,997.5744681,,,,
hard,rsa_encryption,gemini,gemini-2.5-flash_thinking,run_1,29.5,1,0,8,0,217.7234043,,,,
hard,compositional_encryption,gemini,gemini-2.5-flash_thinking,run_1,29.5,1,0,8,0,0,,,,
hard,sequential_feedback_cipher,gemini,gemini-2.5-flash_thinking,run_1,29.5,1,0,8,0,1290.340426,,,,
hard,playfair_cipher,gemini,gemini-2.5-flash_thinking,run_1,29.5,1,0,8,0,255.1276596,,,,
hard,vigenere_encryption,gemini,gemini-2.5-flash_thinking,run_1,29.5,1,0,8,0,271.9361702,,,,
hard,dynamic_curve_cipher,gemini,gemini-2.5-flash_thinking,run_1,28.5,1,0,8,0,394.5217391,,,,
hard,hill_cipher,gemini,gemini-2.5-flash_thinking,run_1,29.5,1,0,8,0,703.8297872,,,,
