difficulty,task_id,model_family,model_name,run_times,max_turns,failure_num,num_correct,total_samples,accuracy,,,,,
easy,balls_completely_elastic_collision,gpt,o3-2025-04-16,run_1,29,1,6,6,1,2452.210526,0.679487179,,3502.716966,
easy,balls_completely_elastic_collision_2,gpt,o3-2025-04-16,run_1,29,1,6,6,1,3329.684211,,,,
easy,simple_harmonic_horizontal,gpt,o3-2025-04-16,run_1,29,1,2,6,0.333333333,4590.829268,,,,
easy,simple_harmonic_vertical,gpt,o3-2025-04-16,run_1,30,1,1,6,0.166666667,5707.906977,,,,
easy,oblique_projectile_infheight,gpt,o3-2025-04-16,run_1,30,1,6,6,1,1943.578947,,,,
easy,pendulum,gpt,o3-2025-04-16,run_1,30,1,1,6,0.166666667,5733.209302,,,,
easy,elliptical_planetary_orbit,gpt,o3-2025-04-16,run_1,30,1,3,6,0.5,3777.6,,,,
easy,cycloid,gpt,o3-2025-04-16,run_1,29,1,6,6,1,4074.105263,,,,
easy,conical_pendulum,gpt,o3-2025-04-16,run_1,29,1,3,6,0.5,3504.390244,,,,
easy,freefall_elastic_collision,gpt,o3-2025-04-16,run_1,29,1,1,6,0.166666667,5282.232558,,,,
easy,freefall_infheight,gpt,o3-2025-04-16,run_1,30,1,6,6,1,1127.783784,,,,
easy,horizontal_projectile_infheight,gpt,o3-2025-04-16,run_1,29,1,6,6,1,1168.842105,,,,
easy,freefall_inelastic_collision,gpt,o3-2025-04-16,run_1,29,1,6,6,1,2842.947368,,,,
hard,bullet_object,gpt,o3-2025-04-16,run_1,30,1,3,6,0.5,5781.333333,,0.479166667,,5360.310048
hard,river_boat,gpt,o3-2025-04-16,run_1,29,1,6,6,1,3866.947368,,,,
hard,incline_plane_block,gpt,o3-2025-04-16,run_1,29,1,3,6,0.5,3739.2,,,,
hard,three_balls_collision,gpt,o3-2025-04-16,run_1,26,1,5,6,0.833333333,5808.842105,,,,
hard,double_pendulum,gpt,o3-2025-04-16,run_1,30,1,0,6,0,6324.363636,,,,
hard,harmonic_friction,gpt,o3-2025-04-16,run_1,28,1,2,6,0.333333333,3234.909091,,,,
hard,ball_air_resistance,gpt,o3-2025-04-16,run_1,29,1,0,6,0,5168.484848,,,,
hard,balls_collision,gpt,o3-2025-04-16,run_1,30,1,4,6,0.666666667,8958.4,,,,
easy,balls_completely_elastic_collision,gemini,gemini-2.5-pro_thinking,run_1,29.5,1,6,6,1,2771.027027,0.705128205,,5160.179749,
easy,balls_completely_elastic_collision_2,gemini,gemini-2.5-pro_thinking,run_1,27.5,1,6,6,1,3333.297297,,,,
easy,simple_harmonic_horizontal,gemini,gemini-2.5-pro_thinking,run_1,29.5,1,4,6,0.666666667,6528.205128,,,,
easy,simple_harmonic_vertical,gemini,gemini-2.5-pro_thinking,run_1,29.5,1,2,6,0.333333333,10661.5122,,,,
easy,oblique_projectile_infheight,gemini,gemini-2.5-pro_thinking,run_1,28.5,1,6,6,1,1586.27027,,,,
easy,pendulum,gemini,gemini-2.5-pro_thinking,run_1,29.5,1,1,6,0.166666667,7434.5,,,,
easy,elliptical_planetary_orbit,gemini,gemini-2.5-pro_thinking,run_1,29.5,1,2,6,0.333333333,8500.780488,,,,
easy,cycloid,gemini,gemini-2.5-pro_thinking,run_1,29.5,1,3,6,0.5,7041.05,,,,
easy,conical_pendulum,gemini,gemini-2.5-pro_thinking,run_1,29.5,1,1,6,0.166666667,5168.261905,,,,
easy,freefall_elastic_collision,gemini,gemini-2.5-pro_thinking,run_1,29.5,1,6,6,1,6045.378378,,,,
easy,freefall_infheight,gemini,gemini-2.5-pro_thinking,run_1,29.5,1,6,6,1,1406.702703,,,,
