difficulty,task_id,model_family,model_name,run_times,max_turns,failure_num,num_correct,total_samples,accuracy,,,,,
easy,balls_completely_elastic_collision,gpt,o4-mini-2025-04-16,run_1,10,0,6,6,1,1674.666667,0.58974359,,2319.991956,
easy,balls_completely_elastic_collision_2,gpt,o4-mini-2025-04-16,run_1,9,0,6,6,1,3576.888889,,,,
easy,simple_harmonic_horizontal,gpt,o4-mini-2025-04-16,run_1,9,0,1,6,0.166666667,1308.444444,,,,
easy,simple_harmonic_vertical,gpt,o4-mini-2025-04-16,run_1,10,0,1,6,0.166666667,2247.111111,,,,
easy,oblique_projectile_infheight,gpt,o4-mini-2025-04-16,run_1,9,0,6,6,1,1240.888889,,,,
easy,pendulum,gpt,o4-mini-2025-04-16,run_1,9,0,0,6,0,4039.111111,,,,
easy,elliptical_planetary_orbit,gpt,o4-mini-2025-04-16,run_1,10,0,0,6,0,2599.111111,,,,
easy,cycloid,gpt,o4-mini-2025-04-16,run_1,10,0,5,6,0.833333333,2364.444444,,,,
easy,conical_pendulum,gpt,o4-mini-2025-04-16,run_1,9,0,1,6,0.166666667,2142.117647,,,,
easy,freefall_elastic_collision,gpt,o4-mini-2025-04-16,run_1,8,0,2,6,0.333333333,3306.666667,,,,
easy,freefall_infheight,gpt,o4-mini-2025-04-16,run_1,10,0,6,6,1,1112.888889,,,,
easy,horizontal_projectile_infheight,gpt,o4-mini-2025-04-16,run_1,9,0,6,6,1,1219.555556,,,,
easy,freefall_inelastic_collision,gpt,o4-mini-2025-04-16,run_1,10,0,6,6,1,3328,,,,
hard,bullet_object,gpt,o4-mini-2025-04-16,run_1,10,0,3,6,0.5,3448.888889,,0.270833333,,3354.640523
hard,river_boat,gpt,o4-mini-2025-04-16,run_1,9,0,3,6,0.5,3900.235294,,,,
hard,incline_plane_block,gpt,o4-mini-2025-04-16,run_1,9,0,1,6,0.166666667,5088,,,,
hard,three_balls_collision,gpt,o4-mini-2025-04-16,run_1,9,0,4,6,0.666666667,3029.333333,,,,
hard,double_pendulum,gpt,o4-mini-2025-04-16,run_1,10,0,0,6,0,3840,,,,
hard,harmonic_friction,gpt,o4-mini-2025-04-16,run_1,10,0,0,6,0,2304,,,,
hard,ball_air_resistance,gpt,o4-mini-2025-04-16,run_1,9,0,0,6,0,2218.666667,,,,
hard,balls_collision,gpt,o4-mini-2025-04-16,run_1,9,0,2,6,0.333333333,3008,,,,
easy,balls_completely_elastic_collision,gemini,gemini-2.5-pro_thinking,run_1,9.5,0,6,6,1,3726.294118,0.576923077,,6460.674208,
easy,balls_completely_elastic_collision_2,gemini,gemini-2.5-pro_thinking,run_1,8.5,0,6,6,1,4480.823529,,,,
easy,simple_harmonic_horizontal,gemini,gemini-2.5-pro_thinking,run_1,9.5,0,0,6,0,12992.82353,,,,
easy,simple_harmonic_vertical,gemini,gemini-2.5-pro_thinking,run_1,9.5,0,1,6,0.166666667,11205.64706,,,,
easy,oblique_projectile_infheight,gemini,gemini-2.5-pro_thinking,run_1,9.5,0,6,6,1,2465.176471,,,,
